CYBV	09/27	52.358871	-97.024406	52.358906	-97.011490
CYBW	08/26	51.104805	-114.378532	51.104801	-114.364059
CYBW	17/35	51.112167	-114.378754	51.098473	-114.378731
CYBX	05/23	51.436600	-57.190899	51.447601	-57.181801
CYCB	13T/31T	69.112198	-105.153999	69.103897	-105.123001
CYCC	10/28	45.092201	-74.570000	45.093300	-74.556702
CYCD	16/34	49.059200	-123.870003	49.045502	-123.870003
CYCE	10/28	43.283100	-81.518097	43.282799	-81.499199
CYCE	16/34	43.290798	-81.509399	43.280300	-81.501404
CYCG	15/33	49.303398	-117.635002	49.289101	-117.629997
CYCH	09/27	47.005299	-65.460403	47.010300	-65.437897
CYCK	06/24	42.301399	-82.088303	42.311401	-82.075600
CYCL	12/30	47.992500	-66.343300	47.988300	-66.319397
CYCN	13/31	49.108601	-81.021896	49.102501	-81.005302
CYCO	12T/30T	67.820602	-115.161003	67.812798	-115.126999
CYCP	01/19	52.110802	-119.291000	52.122501	-119.278999
CYCQ	05/23	55.685299	-121.637001	55.689098	-121.615997
CYCT	11/29	52.077499	-111.450996	52.072498	-111.440002
CYCW	07/25	49.151901	-121.946999	49.153599	-121.931000
CYCY	02T/20T	70.481400	-68.521103	70.490799	-68.511902
CYCZ	16/34	50.340000	-115.875999	50.323898	-115.871002
CYDA	03/21	64.038597	-139.139008	64.047501	-139.115997
CYDB	11/29	61.375301	-139.052002	61.366901	-139.029007
CYDC	04/22	49.464001	-120.517998	49.471001	-120.505997
CYDF	07/25	49.205299	-57.400700	49.216400	-57.382099
CYDL	02/20	58.416698	-130.044006	58.427799	-130.020996
CYDN	02/20	51.101398	-100.052002	51.106201	-100.047997
CYDN	08/26	51.106701	-100.057999	51.106701	-100.046997
CYDN	14/32	51.107201	-100.057999	51.095600	-100.046997
CYDO	11/29	48.778999	-72.385201	48.778099	-72.364601
CYDQ	07/25	55.741100	-120.194000	55.742199	-120.168999
CYEE	16/34	44.689480	-79.933380	44.680199	-79.925400
CYEG	02/20	53.308899	-113.596001	53.334202	-113.568001
CYEG	12/30	53.306400	-113.595001	53.286701	-113.561996
CYEK	15T/33T	61.098900	-94.076698	61.089500	-94.065002
CYEL	12/30	46.353600	-82.569702	46.348900	-82.553101
CYEM	02/20	45.838100	-81.859398	45.847500	-81.856697
CYEN	08/26	49.207901	-102.975998	49.208000	-102.955002
CYEN	15/33	49.216400	-102.970001	49.208801	-102.964996
CYES	16/34	47.495300	-68.487801	47.485802	-68.476097
CYET	07/25	53.578999	-116.478996	53.578800	-116.450996
CYEU	10T/28T	79.996300	-85.849899	79.993103	-85.776802
CYEV	06/24	68.303200	-133.505005	68.304398	-133.460999
CYEY	14/32	48.568100	-78.257797	48.559700	-78.241699
CYFB	16/34	63.764989	-68.574718	63.748182	-68.537471
CYFC	09/27	45.862999	-66.552299	45.870300	-66.522499
CYFC	15/33	45.874401	-66.539398	45.863602	-66.521698
CYFD	05/23	43.127457	-80.346756	43.137577	-80.333916
CYFD	11/29	43.134388	-80.348778	43.133324	-80.339050
CYFD	17/35	43.134129	-80.349121	43.127190	-80.346466
CYFE	09/27	48.743801	-69.107002	48.748402	-69.087502
CYFJ	02/20	46.401901	-74.781799	46.417000	-74.777702
CYFO	19/01	54.684799	-101.680000	54.671299	-101.683998
CYFR	13/31	61.185001	-113.696999	61.176701	-113.681999
CYFS	14/32	61.767799	-121.244003	61.752800	-121.230003
CYGB	14/32	49.697498	-124.519997	49.689999	-124.514999
CYGD	05/23	43.764000	-81.713303	43.768600	-81.709702
CYGD	10/28	43.764198	-81.711700	43.763901	-81.700302
CYGD	14/32	43.771099	-81.716400	43.763901	-81.700302
CYGE	14/32	51.304199	-116.985001	51.292500	-116.977997
CYGH	07/25	66.240799	-128.660995	66.240799	-128.641006
CYGK	01/19	44.219101	-76.601799	44.232601	-76.603104
CYGK	07/25	44.219555	-76.601433	44.225586	-76.590149
CYGL	13/31	53.628799	-77.717903	53.621899	-77.690399
CYGM	15/33	50.636101	-97.049400	50.619701	-97.034698
CYGP	10/28	48.774239	-64.493042	48.775799	-64.470413
CYGQ	08/26	49.776707	-86.948692	49.780674	-86.928413
CYGR	07/25	47.420601	-61.787899	47.428101	-61.773499
CYGR	16/34	47.429401	-61.785801	47.421902	-61.776100
CYGT	15T/33T	69.369278	-81.825447	69.360046	-81.807510
CYGV	08/26	50.279202	-63.619999	50.284698	-63.602798
CYHB	06/24	52.813900	-102.321999	52.819401	-102.301003
CYHD	12/30	49.835105	-92.755151	49.828061	-92.732239
CYHF	04/22	49.708900	-83.691101	49.719200	-83.680801
CYHI	06T/24T	70.760300	-117.821999	70.765800	-117.790001
CYHK	13T/31T	68.639198	-95.862801	68.631897	-95.836700
CYHM	06/24	43.166698	-79.934700	43.177601	-79.917801
CYHM	12/30	43.180599	-79.953102	43.172199	-79.917503
CYHN	07/25	49.190601	-84.765297	49.195599	-84.752502
CYHR	07/25	50.465401	-59.644600	50.472500	-59.628799
CYHS	01/19	44.152802	-81.062798	44.163898	-81.062798
CYHS	09/27	44.157799	-81.067497	44.158901	-81.058098
CYHU	06L/24R	45.510754	-73.429131	45.525387	-73.406860
CYHU	06R/24L	45.511398	-73.414703	45.518600	-73.403603
CYHU	10/28	45.510799	-73.426102	45.511700	-73.415298
CYHY	05/23	60.839401	-115.789001	60.843899	-115.768997
CYHY	14/32	60.847198	-115.795998	60.831902	-115.782997
CYHZ	05/23	44.868599	-63.525002	44.888302	-63.505600
CYHZ	14/32	44.893600	-63.518299	44.881100	-63.494202
CYIB	04/22	48.770302	-91.643303	48.777699	-91.634102
CYID	06/24	44.541901	-65.790901	44.549900	-65.780602
CYIF	01/19	51.205399	-58.657101	51.217899	-58.659599
CYIK	07/25	62.414200	-77.933296	62.420200	-77.917198
CYIO	02T/20T	72.678299	-77.973801	72.688400	-77.959503
CYIV	12/30	53.860100	-94.645599	53.853901	-94.645599
CYJM	10/28	54.400299	-124.271004	54.394199	-124.254997
CYJN	02/20	45.290798	-73.275803	45.297501	-73.275803
CYJN	06/24	45.292500	-73.284698	45.297798	-73.277199
CYJN	11/29	45.292500	-73.289398	45.292500	-73.273804
CYJT	02/20	48.533901	-58.552502	48.544201	-58.553699
CYJT	09/27	48.540298	-58.569401	48.548901	-58.530300
CYKA	05/23	50.699200	-120.443001	50.701900	-120.434998
CYKA	09/27	50.703899	-120.456001	50.700298	-120.431000
CYKD	13/31	68.226898	-135.011002	68.219704	-135.001007
CYKF	08/26	43.457970	-80.389732	43.465302	-80.366798
CYKF	14/32	43.462502	-80.391602	43.455502	-80.379501
CYKG	14/32	61.590996	-71.938019	61.585972	-71.920784
CYKL	17/35	54.810600	-66.810799	54.798901	-66.798599
CYKM	05/23	44.200600	-81.603104	44.204700	-81.597801
CYKM	13/31	44.204399	-81.613297	44.198601	-81.599998
CYKO	08/26	60.816399	-78.157501	60.820801	-78.139702
CYKX	08/26	48.208199	-79.989998	48.212299	-79.972504
CYKY	08/26	51.518299	-109.188004	51.518299	-109.172997
CYKY	17/35	51.518200	-109.180000	51.512001	-109.180000
CYLB	11/29	54.775299	-112.042000	54.765301	-112.021004
CYLD	05/23	47.816898	-83.356697	47.823299	-83.348900
CYLD	10/28	47.821899	-83.356903	47.821400	-83.336700
CYLI	14/32	50.680000	-121.896004	50.669399	-121.890999
CYLJ	09/27	54.124901	-108.533997	54.122501	-108.511002
CYLJ	17/35	54.130299	-108.515999	54.124001	-108.514999
CYLL	08/26	53.309200	-110.084999	53.309200	-110.059998
CYLL	11/29	53.311298	-110.091003	53.309200	-110.084999
