AYDQ	Dimisisi Airstrip	-8.62980	142.21620
AYDR	Dorobisoro Airport	-9.46185	147.92091
AYDS	Dusin Airport	-5.18386	144.41217
AYDU	Daru Airport	-9.08676	143.20799
AYDW	Dewara Airstrip	-8.38020	142.44750
AYDY	Sindeni Airstrip	-7.00770	145.79650
AYEA	Kerau Airport	-8.27161	147.07190
AYEB	Embessa Airport	-9.44700	148.76280
AYED	Edwaki Airport	-3.88399	141.79223
AYEE	Emirau Airport	-1.65395	149.97577
AYEF	Efogi Airport	-9.15381	147.65981
AYEG	Mengina Airstrip	-6.48360	144.98600
AYEH	Morehead Airport	-8.71411	141.64444
AYEI	Milei Airstrip	-9.07940	147.60200
AYEK	Membok Airstrip	-6.47440	141.01900
AYEL	Eliptamin Airport	-5.04120	141.67790
AYEM	Eleme Airstrip	-4.81403	143.91064
AYEN	Engati Airstrip	-6.91790	146.10530
AYEO	Emo River Airstrip	-9.12340	148.04150
AYER	Erume Airport	-8.25380	146.97470
AYES	Meselia Airport	-6.13640	149.11830
AYET	Bosset Airport	-7.23726	141.10632
AYEU	Eloaua Airstrip	-1.56026	149.63036
AYEV	Erave Airport	-6.60646	143.90021
AYEW	Siwea Airport	-6.28418	147.58237
AYEY	Mirsey Airstrip	-4.06210	142.66090
AYEZ	Moropote Airstrip	-4.58706	142.33569
AYFA	Fane Airport	-8.54928	147.08583
AYFE	Feramin Airport	-5.20800	141.69880
AYFF	Faia Airport	-7.16035	143.53132
AYFI	Finschhafen Airport	-6.62175	147.85405
AYFK	Foroko Airstrip	-5.32830	144.89440
AYFO	Fogomaiu Airstrip	-6.50960	143.07940
AYFR	Frieda River Airport	-4.61047	141.96014
AYFS	Fas Airstrip	-3.19830	141.47200
AYFU	Fuma Airport	-6.39330	142.44080
AYFW	Kwieftim Airstrip	-3.60050	141.76740
AYGA	Goroka Airport	-6.08169	145.39200
AYGB	Gobe Airport	-6.87777	143.72184
AYGC	Gewoia Airport	-9.22630	148.49490
AYGD	Gimi Airstrip	-6.64820	145.40030
AYGE	Geigorobi Airstrip	-4.10550	143.30560
AYGF	Guari Airport	-8.12860	146.87220
AYGG	Garasa Airport	-7.98071	147.21346
